location,new_cases,MSE,RMSE,MAE,R2
Faeroe Islands,1.0,55.58003756562109,7.455202047270154,3.679745163545956,-0.1760512685618525
Falkland Islands,0.0,0.003795961456391365,0.06161137440758293,0.061611374407582915,0.0
Fiji,0.0,0.11015100260293448,0.3318900459533767,0.19314738559552486,-0.01958179275004812
Finland,64.0,1163.460253066928,34.10953316987683,30.814561267767303,-0.24400319120516611
France,1475.0,49455674.97823159,7032.472892107839,5391.643425757303,-1.174207200671686
French Guiana,-199.0,78434.28022093752,280.0612079902133,235.66118343028964,-165.68034854887458
French Polynesia,0.0,1536.8884545550616,39.20316893511367,27.21031776862714,-0.9045982490552817
Gabon,87.0,5870.193746737381,76.6171896295954,73.43339905813426,-2.338669418492258
Gambia,98.0,4703.292487678424,68.58055473440284,59.980716642725014,-0.34296877779996904
Georgia,16.0,13982.995887492973,118.24971834001539,69.86588664949963,-0.3463905695641878
Germany,1673.0,345273.304677761,587.5996125575314,463.53830320418615,-0.2649358703778659
Ghana,595.0,214356.94941112044,462.9869862222052,443.309285231885,-6.630669800117217
Gibraltar,1.0,14.241304435077794,3.773765286166827,2.6737627223991924,-0.6508378131752175
Greece,43.0,39299.6470131193,198.2413857223544,182.14167963738532,-4.744146458182588
Greenland,0.0,0.004402416836998271,0.06635071090047394,0.06635071090047394,0.0
Grenada,0.0,0.012937714786280625,0.11374407582938385,0.1137440758293839,0.0
Guadeloupe,-17.0,55817.22290338493,236.25668858973057,94.7497592900462,-0.2336271151852387
Guam,-721.0,958880.5308802555,979.2244537797529,755.2840731442086,-1018.805189297468
Guatemala,788.0,127304.44111382721,356.7974791304266,273.1187162456169,-0.21988623420880504
Guernsey,-0.0,0.13413134452711928,0.36623946336668756,0.24265769189985464,-0.7825097606621825
Guinea,65.0,1218.3683491603185,34.90513356456781,28.62130915226507,-0.07073724959531491
Guinea-Bissau,-12.0,669.2869419933637,25.870580627294853,18.538095216173193,-1.1884653877481446
Guyana,6.0,2009.9274880312203,44.83221484637158,33.967370522551334,-1.1500561402185236
Haiti,84.0,4104.121151162012,64.06341507570457,61.66233925529198,-11.217362868365559
Honduras,-136.0,806510.4241332617,898.0592542439846,718.0538964814278,-14.54643029046065
Hong Kong,0.0,0.0,0.0,0.0,1.0
Hungary,51.0,231145.31212816737,480.7757399538452,323.20515274596585,-0.642980081152787
Iceland,31.0,508.0093364900456,22.539062458098066,20.328536056899985,-1.1340737131896916
India,139666.0,6184622205.360304,78642.36902179578,64524.66687823582,-31.619245794419555
Indonesia,2430.0,844651.673654081,919.0493314583722,730.1295866195225,0.023504581165654237
Iran,1144.0,3130141.2662171465,1769.2205250383986,1349.527919729224,-10.28219638221313
Iraq,-758.0,28365069.835941944,5325.886765219661,4644.629927016145,-69.70962470991958
Ireland,248.0,18880.0421635627,137.40466572705128,120.94695731575395,-0.7539254096283672
Isle of Man,-0.0,0.2109027848064764,0.4592415321010028,0.38681899344678616,-2.441970448530256
Israel,12337.0,123898094.6159973,11130.952098360558,9583.745394811815,-33.78119610310448
Italy,2102.0,1233023.9264221648,1110.4161050805076,1022.5737117063414,-3.375964544311457
Jamaica,5.0,12476.360846345939,111.6976313372219,86.30809996796519,-1.6150591676325203
Japan,210.0,501790.73294583464,708.3718888732349,587.2637901387826,-2.6872466452504575
Jersey,-1.0,5.497466058541969,2.3446675795391485,1.9888104278879304,-2.941439538311111
Jordan,18.0,58673.92871706557,242.22701896581557,130.17163438598115,-0.3484650205738149
Kazakhstan,-9195.0,151239767.4845545,12297.957858301292,10041.380679995564,-155.57860420891026
Kenya,1693.0,2476990.161885949,1573.845660122348,1389.81457572682,-56.24747815516465
Kiribati,0.0,0.0,0.0,0.0,1.0
Kosovo,31.0,30778.86144345931,175.4390533588782,120.36776994005406,-8.138921635338276
Kuwait,-21.0,532544.8143667642,729.7566816184448,644.6850236877792,-30.50814241969919
Kyrgyzstan,-387.0,351300.1630880962,592.7057980888126,565.4042074196914,-18.194401896944928
Laos,0.0,0.08162845236784554,0.2857069344062995,0.1377515344573071,-0.026146862367409485
Latvia,10.0,179.7258507253397,13.406187031566422,7.692087707074593,0.04001531567563399
Lebanon,4080.0,20604067.31950163,4539.1703338277175,3522.649771632507,-305.878274765999
Lesotho,51.0,1970.788893440406,44.39356815396129,39.84601561861436,-2.2054971012689233
Liberia,4.0,20.771294191110762,4.557553531348892,3.5170430696947346,-0.3945219703580245
Libya,3579.0,15776495.69352404,3971.963707478209,3069.4398988321705,-315.6200910463177
Liechtenstein,0.0,0.5240382520467404,0.7239048639474254,0.5634450416834799,-0.1732529096666191
Lithuania,25.0,1343.1377172782425,36.64884332797207,22.520901001235774,-0.16651684672932365
Luxembourg,38.0,1096.4446614755602,33.11260577900145,24.062277813177474,-0.01794905336481767
Madagascar,123.0,29526.662743152894,171.83324108900726,149.5888833541144,-3.9987930354068073
Malawi,-59.0,10989.143918958815,104.82911770571579,88.41375960918138,-9.78371146243472
Malaysia,81.0,3428.0439928245555,58.549500363577444,54.570692126846225,-1.016987504633053
Maldives,36.0,7004.542118935345,83.69314260401114,71.27006149330798,-3.199480802828025
Mali,25.0,470.82547562171834,21.69851321223918,17.247497766227127,-0.8271888875557345
Malta,11.0,1077.3142582394541,32.8224657550199,27.77845803057018,-2.659483775149173
Marshall Islands,0.0,0.0,0.0,0.0,1.0
Martinique,-2.0,2481.058646590319,49.81022632542758,18.60973546593522,-0.17053741451272875
Mauritania,89.0,5111.4466498489155,71.49438194605864,69.68297158971447,-29.77650104060528
Mauritius,1.0,3.519119028867083,1.875931509641832,0.947957152907659,0.03545654784808372
Mayotte,-4.0,1905.589416557978,43.65305735636369,17.498320504977332,-0.22178130562516074
Mexico,5671.0,3554687.528743135,1885.3878987473997,1462.931406960285,-0.019371316892275114
Micronesia (country),0.0,0.0,0.0,0.0,1.0
Moldova,113.0,173729.8065867474,416.80907690062054,346.99554901395146,-4.849330392600508
